Data,UF,População,Casos,Fatalidades
2020-03-20,RO,1777225,1,0
2020-03-21,RO,1777225,0,0
2020-03-22,RO,1777225,2,0
2020-03-23,RO,1777225,0,0
2020-03-24,RO,1777225,0,0
2020-03-25,RO,1777225,2,0
2020-03-26,RO,1777225,0,0
2020-03-27,RO,1777225,1,0
2020-03-28,RO,1777225,0,0
2020-03-29,RO,1777225,0,0
2020-03-30,RO,1777225,0,0
2020-03-31,RO,1777225,2,1
2020-04-01,RO,1777225,1,0
2020-04-02,RO,1777225,1,0
2020-04-03,RO,1777225,0,0
2020-04-04,RO,1777225,1,0
2020-04-05,RO,1777225,1,0
2020-04-06,RO,1777225,2,0
2020-04-07,RO,1777225,4,0
2020-04-08,RO,1777225,0,0
2020-04-09,RO,1777225,10,1
2020-04-10,RO,1777225,4,0
2020-04-11,RO,1777225,1,0
2020-04-12,RO,1777225,2,0
2020-04-13,RO,1777225,7,0
2020-04-14,RO,1777225,22,0
2020-04-15,RO,1777225,5,0
2020-04-16,RO,1777225,7,1
2020-04-17,RO,1777225,16,0
2020-04-18,RO,1777225,18,0
2020-04-19,RO,1777225,18,1
2020-04-20,RO,1777225,32,0
2020-04-21,RO,1777225,39,0
2020-04-22,RO,1777225,24,1
2020-04-23,RO,1777225,27,0
2020-04-24,RO,1777225,40,0
2020-04-25,RO,1777225,38,2
2020-04-26,RO,1777225,36,3
2020-04-27,RO,1777225,29,0
2020-04-28,RO,1777225,20,1
2020-04-29,RO,1777225,20,4
2020-04-30,RO,1777225,69,1
2020-05-01,RO,1777225,83,2
2020-05-02,RO,1777225,68,5
2020-05-03,RO,1777225,52,1
2020-05-04,RO,1777225,51,1
2020-05-05,RO,1777225,105,4
2020-05-06,RO,1777225,82,4
2020-05-07,RO,1777225,155,4
2020-05-08,RO,1777225,124,2
2020-05-09,RO,1777225,41,2
2020-05-10,RO,1777225,39,2
2020-05-11,RO,1777225,94,4
2020-05-12,RO,1777225,64,3
2020-05-13,RO,1777225,152,0
2020-05-14,RO,1777225,74,6
2020-05-15,RO,1777225,103,6
2020-05-16,RO,1777225,130,7
2020-05-17,RO,1777225,44,5
2020-05-18,RO,1777225,80,3
2020-05-19,RO,1777225,214,10
2020-05-20,RO,1777225,242,3
2020-05-21,RO,1777225,160,11
2020-05-22,RO,1777225,115,5
2020-05-23,RO,1777225,335,9
2020-05-24,RO,1777225,92,6
2020-05-25,RO,1777225,67,0
2020-05-26,RO,1777225,225,12
2020-05-27,RO,1777225,369,4
2020-05-28,RO,1777225,390,5
2020-05-29,RO,1777225,250,3
2020-05-30,RO,1777225,241,6
2020-05-31,RO,1777225,199,5
2020-06-01,RO,1777225,230,3
2020-06-02,RO,1777225,305,13
2020-06-03,RO,1777225,236,8
2020-06-04,RO,1777225,746,14
2020-06-05,RO,1777225,403,19
2020-06-06,RO,1777225,838,15
2020-06-07,RO,1777225,410,7
2020-06-08,RO,1777225,516,10
2020-06-09,RO,1777225,594,10
2020-06-10,RO,1777225,630,12
2020-06-11,RO,1777225,697,26
2020-03-19,AC,881935,3,0
2020-03-20,AC,881935,4,0
2020-03-21,AC,881935,2,0
2020-03-22,AC,881935,2,0
2020-03-23,AC,881935,0,0
2020-03-24,AC,881935,6,0
2020-03-25,AC,881935,6,0
2020-03-26,AC,881935,1,0
2020-03-27,AC,881935,1,0
2020-03-28,AC,881935,0,0
2020-03-29,AC,881935,9,0
2020-03-30,AC,881935,8,0
2020-03-31,AC,881935,0,0
2020-04-01,AC,881935,1,0
2020-04-02,AC,881935,0,0
2020-04-03,AC,881935,3,0
2020-04-04,AC,881935,0,0
2020-04-05,AC,881935,2,0
2020-04-06,AC,881935,2,0
2020-04-07,AC,881935,0,1
2020-04-08,AC,881935,4,1
2020-04-09,AC,881935,8,0
2020-04-10,AC,881935,8,0
2020-04-11,AC,881935,2,0
2020-04-12,AC,881935,5,0
2020-04-13,AC,881935,13,1
2020-04-14,AC,881935,9,0
2020-04-15,AC,881935,2,0
2020-04-16,AC,881935,9,2
2020-04-17,AC,881935,25,0
2020-04-18,AC,881935,7,0
2020-04-19,AC,881935,21,1
2020-04-20,AC,881935,13,2
2020-04-21,AC,881935,19,0
2020-04-22,AC,881935,19,0
2020-04-23,AC,881935,13,2
2020-04-24,AC,881935,7,1
2020-04-25,AC,881935,24,0
2020-04-26,AC,881935,21,0
2020-04-27,AC,881935,0,3
2020-04-28,AC,881935,32,2
2020-04-29,AC,881935,43,1
2020-04-30,AC,881935,50,2
2020-05-01,AC,881935,82,0
2020-05-02,AC,881935,67,2
2020-05-03,AC,881935,104,3
2020-05-04,AC,881935,76,4
2020-05-05,AC,881935,84,1
2020-05-06,AC,881935,126,4
2020-05-07,AC,881935,71,3
2020-05-08,AC,881935,163,2
2020-05-09,AC,881935,158,1
2020-05-10,AC,881935,112,2
2020-05-11,AC,881935,13,4
2020-05-12,AC,881935,130,6
2020-05-13,AC,881935,104,1
2020-05-14,AC,881935,46,3
2020-05-15,AC,881935,45,2
2020-05-16,AC,881935,82,2
2020-05-17,AC,881935,130,1
2020-05-18,AC,881935,237,7
